Cue,Target,AFS,AFP,AFSS,FSG,COS,BOI,Concrete,SUBTLEX,AoA,Length,QSS,n,n.affordance,affordance_count
lovebird,pet,0.145833333,0.259259259,30,NA,NA,4.4,4.62,0.7782,8.44,8,NA,27,20,46
lozenge,soothe,0.098360656,0.230769231,36,NA,NA,5.4,4.59,0.9542,9,7,NA,26,24,62
lubricant,sex,0.243243243,0.321428571,21,NA,NA,5.76,4.52,1.5563,11.11,9,NA,28,24,38
lubrication,sex,0.22,0.392857143,30,NA,NA,4.333333333,3.62,1.1461,12.95,11,NA,28,25,47
luggage,carry,0.18556701,0.545454545,31,0.014,0.026666857,5.304347826,4.83,2.7543,7.63,7,15,33,32,97
lumber,build,0.215686275,0.628571429,48,0.02,0.119567779,5.217391304,4.56,2.1038,7.33,6,8,35,31,104
lump,squeeze,0.078431373,0.142857143,37,NA,NA,4.5,4.56,2.2601,5.89,4,16,28,22,48
lunch,eat,0.316455696,0.925925926,34,0.083,0.320128147,6.043478261,4.31,3.7252,3.61,5,17,27,26,82
lunchroom,eat,0.25,0.814814815,46,NA,NA,4.565217391,4.63,1.2553,5.37,9,NA,27,26,90
lyre,music,0.236363636,0.448275862,24,NA,NA,4.45,4.23,0.699,13.47,4,NA,29,26,49
macaroni,eat,0.25,0.714285714,31,NA,NA,5.62962963,4.97,2.2227,5.15,8,7,28,24,81
macaroon,eat,0.256198347,0.837837838,52,NA,NA,4.346153846,4.96,NA,NA,8,NA,37,33,115
mace,spray,0.207792208,0.615384615,40,NA,NA,5.12,4.81,NA,12.47,4,NA,26,26,77
machete,cut,0.21686747,0.3,34,NA,0.273475949,5.791666667,4.82,1.7324,9.6,7,NA,60,56,163
machine,clean,0.095890411,0.25,47,NA,NA,5.791666667,4.25,3.5544,6.53,7,17,28,24,78
machinery,build,0.120689655,0.2,35,NA,NA,5.416666667,4.75,2.2742,10.28,9,NA,35,29,75
magazine,read,0.287037037,0.885714286,45,0.109,0.214377741,6.166666667,5,3.2289,5.89,8,13,35,32,102
maggot,eat,0.093023256,0.153846154,27,NA,NA,4.44,4.97,1.9138,9.5,6,17,26,21,36
magician,magic,0.134146341,0.323529412,36,0.226,NA,4.5,4.21,2.5922,5.37,8,12,34,30,67
magnet,hold,0.113636364,0.178571429,24,NA,NA,5.615384615,4.7,2.1492,6.1,6,13,28,25,44
magnolia,smell,0.163636364,0.333333333,22,NA,NA,5.416666667,4.71,NA,9.89,8,NA,27,20,58
maid,clean,0.3,0.72972973,34,0.196,NA,4.458333333,4.64,3.0663,6.95,4,20,37,35,81
maiden,help,0.113636364,0.192307692,32,NA,NA,4.44,4.24,2.4518,9.58,6,22,26,21,46
maidservant,clean,0.269230769,0.7,27,NA,NA,4.333333333,4.39,0.8451,12,11,NA,30,27,71
mail,send,0.218181818,0.727272727,50,NA,NA,6.125,4.69,3.2742,4.65,4,15,33,30,107
mailbag,carry,0.261904762,0.594594595,31,NA,NA,5.041666667,4.89,0.7782,6.25,7,NA,37,31,76
maize,eat,0.180327869,0.333333333,30,NA,NA,5.416666667,4.58,1,9.59,5,NA,33,26,54
makeup,wear,0.112149533,0.324324324,57,NA,NA,6,4.45,2.8982,7.94,6,21,37,36,111
male,work,0.095238095,0.25,53,NA,NA,5.5,4.45,3.2385,5.63,4,5,32,28,79
mall,shop,0.255102041,0.675675676,32,0.342,NA,4.36,4.83,2.9845,6.78,4,8,37,33,92
mallard,eat,0.148648649,0.458333333,35,NA,NA,4.772727273,4.27,NA,9.94,7,NA,24,23,71
mallet,hit,0.245614035,0.5,33,NA,NA,5.56,4.93,1.5563,10.94,6,NA,28,24,59
mammal,pet,0.086956522,0.242424242,59,NA,NA,5.291666667,4.59,1.7993,7.39,6,18,33,26,84
man,talk,0.075630252,0.264705882,72,NA,NA,5.346153846,4.79,4.9737,3.11,3,9,34,25,114
mandolin,play,0.230769231,0.620689655,38,NA,NA,5.304347826,4.76,1.3979,12.39,8,NA,29,28,76
mango,eat,0.288888889,0.787878788,35,NA,NA,6.24,5,1.9294,8.22,5,NA,33,28,91
manhole,hide,0.096774194,0.181818182,37,NA,NA,4.72,4.7,1.5911,6.83,7,NA,33,26,58
manicure,paint,0.09375,0.171428571,45,NA,NA,4.730769231,4.39,2.0086,10.56,8,NA,35,28,63
manicurist,paint,0.116666667,0.259259259,44,NA,NA,4.916666667,4.11,1.5051,11.72,10,NA,27,20,63
mannequin,display,0.111111111,0.2,33,NA,NA,4.48,4.53,1.7993,9.24,9,NA,35,30,62
mansion,live,0.188405797,0.220338983,37,NA,NA,4.52173913,4.89,2.5185,7.2,7,12,59,49,177
mantel,decorate,0.229166667,0.423076923,25,NA,NA,5,4.64,1.5911,7.72,6,NA,26,22,46
mantelpiece,decorate,0.192307692,0.357142857,26,NA,NA,4.285714286,3.76,1.2788,11,11,NA,28,25,56
mantle,hold,0.132075472,0.233333333,27,NA,NA,4.807692308,4.57,2.0453,9.17,6,NA,30,25,59
manure,fertilize,0.194444444,0.538461538,34,NA,NA,4.708333333,4.64,2.0294,10.1,6,NA,26,25,68
manuscript,read,0.218181818,0.461538462,32,NA,NA,5.083333333,4.57,2.1399,12.12,10,NA,26,21,55
map,direction,0.121621622,0.321428571,39,0.118,NA,5.481481481,4.93,3.2106,5.6,3,16,28,25,71
maple,eat,0.180327869,0.323529412,39,NA,NA,4.32,4.46,2.2201,5.94,5,6,34,22,59
marble,roll,0.158536585,0.382352941,37,0.034,NA,5.48,4.85,2.4265,7.05,6,22,34,28,78
marbles,play,0.15942029,0.407407407,28,NA,NA,5.75,4.96,2.1931,NA,7,NA,27,22,64
margarine,cook,0.245614035,0.538461538,15,NA,NA,5.56,4.58,1.5185,8.5,9,4,26,25,57
marigold,smell,0.152941176,0.464285714,38,NA,NA,4.75,4.59,NA,8.47,8,NA,28,26,89
marijuana,smoke,0.266666667,0.631578947,40,0.095,NA,6.04,4.89,2.4346,10.89,9,10,38,33,80
marionette,play,0.283333333,0.62962963,34,NA,NA,4.333333333,4.63,0.9031,9.89,10,NA,27,24,57
marketeer,sell,0.216666667,0.433333333,31,NA,NA,4.5,3.71,0.4771,NA,9,NA,30,25,56
marksman,shoot,0.25,0.428571429,29,NA,NA,4.291666667,4.12,1.8751,10.83,8,NA,28,23,43
marmalade,eat,0.279411765,0.542857143,23,NA,NA,6.041666667,4.83,1.7243,10.39,9,NA,35,28,66
marshmallow,eat,0.241666667,0.763157895,43,NA,NA,6.173913043,4.85,1.8921,3.8,11,NA,38,37,124
mascara,wear,0.272727273,0.461538462,21,NA,NA,5.703703704,4.93,1.8129,9.21,7,11,26,21,49
mascot,represent,0.093023256,0.142857143,34,NA,NA,4.32,4.2,1.9294,9.5,6,NA,28,20,43
mask,wear,0.236111111,0.68,28,NA,NA,5.92,4.96,3.0048,4.8,4,12,25,24,67
masseuse,massage,0.305555556,0.392857143,26,NA,NA,5.086956522,4.56,1.8633,11.22,8,NA,56,53,119
mat,clean,0.091954023,0.242424242,42,NA,NA,5.814814815,4.83,2.2529,4.62,3,12,33,29,84
match,light,0.339285714,0.730769231,23,0.184,NA,4.565217391,4.14,3.4017,5.72,5,18,26,21,49
matchbox,light,0.274509804,0.482758621,18,NA,NA,5.875,4.78,1.301,6.52,8,NA,29,26,43
matchstick,light,0.319587629,0.885714286,29,NA,NA,6.103448276,4.96,0.301,6.74,10,NA,35,32,86
mathematician,solve,0.132352941,0.321428571,37,NA,NA,4.272727273,4.38,1.699,9.17,13,NA,28,25,68
mattress,sleep,0.223684211,0.62962963,36,0.092,NA,6.72,5,2.5289,5.1,8,10,27,24,74
mayonnaise,eat,0.219512195,0.264705882,34,NA,NA,5.523809524,4.9,2.0645,6.1,10,17,68,55,161
mayor,vote,0.136363636,0.290322581,38,NA,NA,4.28,4.37,3.203,8.28,5,20,31,27,66
me,play,0.058139535,0.344827586,88,NA,NA,5.708333333,4.33,5.6733,3.28,2,12,29,24,171
meadow,walk,0.138461538,0.3,39,NA,NA,4.391304348,4.86,2.0682,6.89,6,16,30,23,65
meal,eat,0.241758242,0.814814815,44,0.063,NA,5.958333333,4.62,3.1682,4.74,4,6,27,25,91
meat,eat,0.25974026,0.8,31,0.047,0.321386765,5.52173913,4.9,3.3477,4.42,4,17,25,23,78
medal,wear,0.197183099,0.4375,43,NA,NA,5.608695652,4.89,2.7716,6.83,5,14,32,26,75
medallion,wear,0.25,0.615384615,34,NA,NA,5.541666667,4.68,1.8388,10.26,9,NA,26,23,65
medic,help,0.272727273,0.25,30,NA,NA,5.217391304,4.43,2.4654,11.17,5,NA,60,51,112
medicine,take,0.107142857,0.15,48,NA,NA,5.692307692,4.79,3.2418,4.89,8,27,60,54,184
megaphone,talk,0.159090909,0.259259259,20,NA,NA,6.2,4.76,1.2041,10.2,9,NA,27,24,50
melon,eat,0.230769231,0.75,45,NA,NA,5.681818182,4.78,2.3404,4.21,5,NA,32,31,101
memo,write,0.17721519,0.378378378,39,NA,NA,5.04,4.25,2.5289,11.39,4,NA,37,28,73
memorabilia,sell,0.146341463,0.428571429,38,NA,NA,4.434782609,4.15,1.415,11.16,11,NA,28,26,86
men,sex,0.105263158,0.230769231,35,0.02,NA,5.72,4.75,4.279,NA,3,10,26,19,57
mentor,help,0.115789474,0.323529412,46,NA,NA,4.347826087,3.7,2.2529,11.37,6,NA,34,32,86
menu,read,0.168674699,0.4,34,NA,0.083118109,5.869565217,4.67,2.7067,5.89,4,NA,35,29,75
merchandise,buy,0.219512195,0.666666667,32,NA,NA,5.833333333,4.52,2.3909,9.26,11,NA,27,24,79
merchant,sell,0.309090909,0.548387097,22,NA,NA,4.5,4.31,2.1673,9.8,8,NA,31,26,55
merchantman,sell,0.379310345,0.6875,19,NA,NA,4.5,4.19,0.4771,11.12,11,NA,32,29,59
metal,build,0.272727273,0.5,32,NA,0.116251772,5.130434783,4.87,2.9969,5.61,5,16,30,21,56
metalworker,build,0.119047619,0.2,29,NA,NA,4.8,4.18,0.4771,11,11,NA,25,20,39
meteorologist,predict,0.094339623,0.185185185,31,NA,NA,4.875,4.56,1.0792,8.89,13,NA,27,23,44
mice,watch,0.104477612,0.25,35,NA,NA,5,4.84,2.5263,NA,4,15,28,25,64
microphone,sing,0.179487179,0.5,40,0.185,0.229350142,6.043478261,4.88,2.3674,6.25,10,18,28,27,73
microscope,look,0.180327869,0.392857143,32,0.021,0.099358517,NA,5,2.1139,9.16,10,19,28,27,66
microwave,heat,0.262295082,0.592592593,24,0.039,NA,5.28,4.34,2.301,7.67,9,14,27,26,55
midget,friend,0.115384615,0.230769231,39,NA,NA,4.821428571,4.4,2.3729,9.2,6,8,26,20,52
midwife,birth,0.135135135,0.3125,36,NA,NA,5,4.56,1.4771,10.89,7,NA,32,27,67
milk,drink,0.333333333,0.851851852,20,0.103,0.087348945,5.956521739,4.92,3.3365,3.37,4,18,27,25,83
milkshake,drink,0.247619048,0.866666667,35,NA,NA,6.4,4.97,1.6335,4.89,9,NA,30,29,107
mincemeat,eat,0.293103448,0.607142857,27,NA,NA,5.083333333,4.36,1.3617,12.06,9,NA,28,25,59
minister,talk,0.126582278,0.27027027,38,NA,NA,4.84,4.22,2.9741,7.42,8,12,37,30,74
mink,pet,0.111111111,0.151515152,31,NA,NA,4.904761905,4.58,2.2788,10.32,4,7,33,21,48
minnow,fish,0.214285714,0.346153846,14,NA,0.538259728,4.416666667,4.84,1.1761,9.06,6,NA,26,22,38
mint,eat,0.204545455,0.545454545,34,NA,NA,5.76,4.54,2.444,5.94,4,24,33,29,84
mirror,look,0.246376812,0.653846154,30,0.028,NA,6.086956522,4.97,3.0913,4.89,6,8,26,23,68
mistletoe,kiss,0.310810811,0.676470588,18,NA,NA,4.592592593,4.85,1.9956,9.65,9,NA,34,32,70
mistress,cheat,0.076923077,0.151515152,46,NA,NA,5,4.22,2.7832,11.72,8,NA,33,27,62
mitt,wear,0.194029851,0.361111111,22,NA,NA,6.08,4.76,1.8513,6.83,4,NA,36,27,62
mitten,warm,0.333333333,0.62962963,22,0.017,NA,6.041666667,4.89,NA,4.72,6,9,27,24,46
mixer,mix,0.238636364,0.567567568,35,NA,0.058695547,5,4.33,1.7482,7.05,5,NA,37,34,82
moccasin,wear,0.296296296,0.615384615,20,NA,NA,5.458333333,4.78,0.4771,11.22,8,NA,26,24,57
model,show,0.209302326,0.333333333,28,NA,NA,5.086956522,4.53,3.2138,5.83,5,20,27,21,39
molasses,cook,0.172839506,0.4,33,NA,NA,5,4.84,1.7243,8.95,8,16,35,34,82
mommy,care,0.092105263,0.269230769,38,NA,NA,5.434782609,4.07,NA,2.5,5,NA,26,24,72
money,buy,0.142857143,0.413793103,36,0.026,NA,6.291666667,4.54,4.5143,5.11,5,19,29,28,89
moneybags,hold,0.181818182,0.461538462,39,NA,NA,5,3.85,NA,9.32,9,NA,39,35,91
mongoose,pet,0.138461538,0.28125,42,NA,NA,4.5,4.89,1.5315,9.94,8,8,32,23,63
monk,pray,0.088607595,0.179487179,45,NA,NA,5.173913043,4.35,2.5763,10.29,4,8,39,33,69
monument,build,0.071428571,0.178571429,46,NA,NA,4.52,4.58,2.0719,8.45,8,17,28,21,70
moonshine,drink,0.271428571,0.678571429,35,NA,NA,5.260869565,4.46,1.699,9.22,9,NA,28,25,70
mop,clean,0.413043478,0.730769231,24,0.157,NA,6.192307692,4.97,2.3263,5.11,3,13,26,23,45
morsel,eat,0.318181818,0.424242424,24,NA,NA,4.833333333,4.19,1.5185,8.78,6,NA,33,20,37
mortician,funeral,0.097560976,0.133333333,27,NA,NA,4.833333333,4.3,1.5051,10.2,9,NA,30,20,43
mosquito,kill,0.210526316,0.516129032,40,NA,NA,4.4,4.88,1.9731,6.1,8,10,31,30,73
moss,eat,0.122807018,0.28,37,NA,NA,4.565217391,4.9,NA,8.31,4,11,25,21,54
motel,sleep,0.231707317,0.612903226,37,0.14,NA,4.48,4.93,2.9675,7.11,5,13,31,28,78
moth,kill,0.127272727,0.28,33,NA,NA,4.84,4.69,2.0682,5.74,4,14,25,20,42
mothball,keep away,0.235294118,0.4,24,NA,NA,5.12,4.62,0.7782,8.32,8,NA,30,22,47
mother,care,0.15,0.5,47,NA,NA,5.52,4.6,4.3888,2.63,6,13,24,23,76
motor,drive,0.079365079,0.166666667,37,NA,0.247517839,4.92,4.84,2.8274,7.42,5,13,30,24,75
motorbike,ride,0.246575342,0.692307692,36,NA,NA,6.347826087,4.79,1.5911,7.95,9,NA,26,25,61
motorboat,ride,0.12195122,0.294117647,40,NA,NA,5.304347826,4.93,1.4771,6.53,9,NA,34,31,79
motorcycle,ride,0.206521739,0.59375,41,0.043,0.153704843,5.555555556,4.97,2.659,5.05,10,20,32,30,88
motorcyclist,ride,0.140625,0.36,48,NA,NA,4.52,4.79,1.1461,7.17,12,NA,25,21,55
motorist,drive,0.229508197,0.388888889,35,NA,NA,5.12,4.72,1.415,7.74,8,NA,36,31,59
mountain,climb,0.271604938,0.846153846,37,0.092,NA,4.307692308,4.96,3.2567,6.15,8,17,26,26,84
mountainside,climb,0.157894737,0.576923077,47,NA,NA,4.708333333,4.48,1.1761,7.53,12,NA,26,24,88
mouse,pet,0.145833333,0.259259259,25,NA,NA,5.24,4.83,2.9894,4.94,5,10,27,23,50
mousetrap,catch,0.25,0.44,17,NA,NA,4.916666667,5,1.4914,6.78,9,NA,25,24,50
mousse,eat,0.2,0.357142857,29,NA,NA,5.260869565,4.83,1.7782,10.32,6,14,28,21,45
moustache,shave,0.104477612,0.25,36,NA,NA,5.347826087,4.96,2.2878,5.4,9,NA,28,25,66
mouth,eat,0.173076923,0.692307692,36,0.038,NA,6.304347826,4.74,3.7264,3.58,5,19,26,26,105
mouthpiece,protect,0.147540984,0.321428571,36,NA,NA,5.304347826,4.66,1.6812,10.6,10,NA,28,24,60
mouthwash,clean,0.177419355,0.407407407,27,NA,NA,6.230769231,4.67,1.699,7.32,9,NA,27,24,61
mucus,blow,0.175,0.122807018,25,NA,NA,4.88,4.76,1.4914,9.56,5,NA,57,39,82
mud,throw,0.125,0.24,31,NA,NA,5.56,4.86,2.8791,4.05,3,10,25,20,51
muffin,eat,0.3125,0.833333333,30,NA,0.267939666,5.875,4.78,2.4742,5.11,6,14,30,30,72
muffler,reduce,0.081632653,0.133333333,35,NA,NA,4.75,4.68,1.716,9.5,7,NA,30,23,49
mug,drink,0.282051282,0.814814815,38,0.024,NA,NA,4.8,2.5441,5.15,3,9,27,24,78
mulberry,eat,0.183908046,0.551724138,48,NA,NA,4.703703704,4.48,NA,8.88,8,NA,29,22,91
mulch,garden,0.15,0.2,24,NA,NA,4.625,4.59,1.3617,9.22,5,NA,30,25,41
mule,ride,0.19047619,0.461538462,37,NA,0.115010927,4.318181818,5,2.5551,5.65,4,11,26,24,61
mullet,style,0.131578947,0.083333333,22,NA,NA,4.518518519,4.78,1.4771,11.67,6,NA,60,43,98
mum,love,0.149253731,0.344827586,39,NA,NA,4.416666667,4.11,NA,7.47,3,NA,29,27,65
munitions,fire,0.169491525,0.333333333,34,NA,NA,4.80952381,3.82,1.8129,NA,9,NA,30,22,57
muscle,lift,0.093023256,0.307692308,55,NA,0.102773667,5.12,4.5,2.842,8.45,6,22,39,37,127
museum,look,0.128571429,0.321428571,42,NA,NA,4.333333333,4.6,2.9745,8.55,6,16,28,25,65
mushroom,eat,0.208791209,0.730769231,37,NA,NA,5.333333333,4.83,2.0414,6.44,8,22,26,24,87
musician,play,0.173469388,0.548387097,43,NA,NA,4.47826087,4.42,2.49,7.11,8,NA,31,29,89
musket,shoot,0.276923077,0.6,29,NA,NA,5.217391304,4.67,1.7076,10.17,6,NA,30,25,59
mustache,shave,0.184615385,0.461538462,31,NA,0.542648389,5.620689655,4.9,2.4031,NA,8,9,26,21,63
mustard,eat,0.230769231,0.473684211,36,NA,NA,5.8,4.93,2.5185,4.95,7,10,38,32,81
mutt,pet,0.097826087,0.264705882,48,NA,NA,4.958333333,3.89,2.3075,7.22,4,NA,34,26,89
mutton,eat,0.3,0.555555556,22,NA,NA,5,4.25,1.6128,13.15,6,14,27,21,49
muzzle,prevent,0.211538462,0.333333333,27,NA,NA,4.391304348,4.59,1.9138,8.44,6,NA,33,28,47
myself,help,0.059405941,0.206896552,67,NA,NA,5.038461538,2.97,4.2423,3.81,6,NA,29,23,101
nail,hang,0.171052632,0.52,31,NA,NA,5.541666667,4.93,2.9786,5.42,4,6,25,23,71
nameplate,identify,0.127659574,0.230769231,30,NA,NA,4.84,4.52,0.9031,9.89,9,NA,26,20,50
nanny,babysit,0.169014085,0.387096774,23,NA,NA,4.6,4.21,2.7259,6.67,5,NA,31,25,63
napkin,clean,0.223684211,0.62962963,34,0.054,NA,6.333333333,4.93,2.2672,4.79,6,19,27,26,73
narcotics,sell,0.079545455,0.189189189,49,NA,NA,4.956521739,4.59,2.42,12.39,9,NA,37,29,86
neck,hold,0.082352941,0.194444444,42,NA,NA,6.12,5,3.4823,3,4,19,36,33,83
neckband,wear,0.257142857,0.290322581,24,NA,NA,5.217391304,4.77,0.301,9.78,8,NA,31,22,35
neckerchief,wear,0.228571429,0.571428571,32,NA,NA,5.347826087,4.5,0.4771,9.65,11,NA,28,25,67
necklace,wear,0.261363636,0.621621622,31,0.014,NA,5.821428571,4.96,2.6972,5,8,12,37,27,87
necktie,wear,0.25862069,0.454545455,30,NA,NA,6.043478261,4.96,1.7924,6.63,7,NA,33,23,58
neckwear,wear,0.215384615,0.411764706,31,NA,NA,5.652173913,4.56,0.4771,11.58,8,NA,34,27,61
nectar,eat,0.186046512,0.444444444,43,NA,NA,4.608695652,4.63,1.6812,8.95,6,NA,36,29,90
needle,sew,0.261904762,0.366666667,30,0.224,NA,5.739130435,4.93,2.7846,5.32,6,8,60,56,132
needlepoint,sew,0.149253731,0.416666667,35,NA,NA,4.576923077,4.48,1.4624,9,11,NA,24,24,67
needlework,sew,0.127272727,0.269230769,31,NA,NA,4.692307692,4.41,1.1761,9.88,10,NA,26,23,55
negligee,wear,0.177777778,0.307692308,29,NA,NA,4.75,4.48,1.5798,15.92,8,NA,26,22,46
nephew,play,0.121621622,0.310344828,39,NA,NA,5.16,4.48,2.9279,6.37,6,11,29,23,69
net,catch,0.333333333,0.68,21,0.034,NA,5.208333333,4.53,2.8998,7,3,14,25,25,50
nettle,sting,0.115384615,0.24,35,NA,NA,4.529411765,3.88,0.9542,14.33,6,NA,25,20,55
neurologist,surgery,0.109375,0.205882353,32,NA,NA,4.384615385,4.1,1.716,14.22,11,NA,34,26,58
newlyweds,celebrate,0.108108108,0.125,22,NA,NA,4.772727273,3.79,1.8751,NA,9,NA,32,22,52
newsagent,buy,0.137931034,0.296296296,38,NA,NA,4.333333333,4.41,0.301,11.11,9,NA,27,22,56
newsboy,deliver,0.162790698,0.28,31,NA,NA,4.869565217,4.42,1.1761,7.53,7,NA,25,21,40
newscaster,listen,0.173913043,0.275862069,21,NA,NA,4.347826087,4.5,NA,9.56,10,NA,29,23,43
newsletter,read,0.274725275,0.694444444,42,NA,NA,5.826086957,4.66,1.6435,9.42,10,NA,36,31,83
newsman,inform,0.095890411,0.2,35,NA,NA,4.285714286,4.26,1.3222,5.72,7,NA,35,33,66
newspaper,read,0.19760479,0.846153846,80,0.096,0.071796316,5.76,4.82,3.0824,5.78,9,23,39,39,141
newspaperman,deliver,0.164179104,0.305555556,36,NA,NA,4.48,4.5,1.8692,7.5,12,NA,36,31,68
newsprint,read,0.24,0.666666667,40,NA,NA,4.260869565,4.62,0.9542,10,9,NA,27,24,75
newsstand,buy,0.184615385,0.413793103,31,NA,NA,5.458333333,4.71,1.7324,9.74,9,7,29,26,65
newt,pet,0.153846154,0.25,29,NA,NA,4.391304348,4.17,NA,7.56,4,NA,32,25,54
nickel,spend,0.157894737,0.257142857,28,NA,NA,5.814814815,4.79,2.6355,5.75,6,10,35,29,65
nightcaps,sleep,0.189189189,0.424242424,34,NA,NA,4.708333333,4.07,0.301,NA,9,NA,33,32,78
nightclub,dance,0.25,0.821428571,28,NA,NA,4.409090909,4.96,2.3766,10.74,9,NA,28,26,90
nightdress,wear,0.23943662,0.653846154,30,NA,NA,5.791666667,4.62,0.699,9.12,10,NA,26,21,66
nightgown,wear,0.231884058,0.64,29,NA,NA,5.92,4.9,2.0043,5.78,9,16,25,22,68
nightie,wear,0.270833333,0.52,18,NA,NA,5.62962963,4.3,1.5563,7.82,7,NA,25,20,47
nightlight,light,0.096774194,0.206896552,35,NA,NA,4.821428571,4.93,0.699,5.21,10,NA,29,25,59
nightshirt,wear,0.276315789,0.777777778,29,NA,NA,6.291666667,5,1.0792,6.1,10,NA,27,26,71
nipple,feed,0.157894737,0.346153846,33,NA,NA,5.625,4.83,2.1614,9.05,6,NA,26,20,42
noodle,eat,0.285714286,0.436363636,35,NA,NA,6.24,4.71,2.1732,3.44,6,NA,55,52,164
noose,tie,0.203389831,0.461538462,27,NA,NA,4.708333333,4.52,2.0492,8.28,5,12,26,23,53
nose,smell,0.185185185,0.576923077,32,0.108,0.110980625,6,4.89,3.5512,2.95,4,15,26,24,81
nostril,smell,0.209876543,0.485714286,26,NA,NA,5.208333333,4.89,1.5563,7.37,7,NA,35,33,82
note,write,0.247191011,0.647058824,46,0.049,0.16127614,5.434782609,4.61,3.4365,6.4,4,16,34,33,91
notepaper,write,0.233333333,0.807692308,42,NA,NA,5.392857143,4.78,0.4771,6.39,9,NA,26,25,82
novel,read,0.25,0.75,34,0.074,0.377922195,5.4,4.21,2.711,9.5,5,7,28,25,77
nugget,eat,0.22972973,0.62962963,36,NA,NA,4.826086957,4.45,1.7853,7.32,6,NA,27,23,74
nun,pray,0.166666667,0.222222222,27,NA,NA,4.666666667,4.92,2.5514,8.39,3,15,27,20,38
nurse,help,0.178571429,0.405405405,42,0.021,NA,5.130434783,4.39,3.3608,5.84,5,10,37,32,78
nursemaid,help,0.183673469,0.333333333,26,NA,NA,4.583333333,4.5,1.4624,9.75,9,NA,27,23,44
nursery,sleep,0.11627907,0.185185185,29,NA,NA,4.875,4.48,2.3181,6.95,7,10,27,21,50
nut,eat,0.234234234,0.722222222,37,NA,NA,5.555555556,4.52,2.902,5.21,3,14,36,34,105
nutcracker,crack,0.229885057,0.338983051,32,NA,NA,5.36,4.81,1.5682,7.24,10,NA,59,56,124
nutmeg,cook,0.173333333,0.464285714,31,NA,NA,4.608695652,4.69,1.5682,8.83,6,NA,28,27,72
nutshell,crack,0.218181818,0.428571429,24,NA,NA,4.375,4.29,1.6902,6.67,8,NA,28,24,54
nylon,wear,0.236363636,0.342105263,35,NA,NA,4.928571429,4.7,1.8451,10,5,13,38,24,63
oar,row,0.189189189,0.538461538,41,0.121,NA,5.307692308,4.84,1.6335,5.83,3,5,26,24,68
oat,eat,0.253333333,0.513513514,22,NA,NA,4.8,5,1.4472,5.83,3,NA,37,27,70
object,throw,0.104651163,0.321428571,55,NA,NA,6.416666667,3.66,3.1189,7.94,6,17,28,21,96
obstetrician,deliver,0.157894737,0.310344828,31,NA,NA,5.04,4.31,1.1461,12.56,12,NA,29,21,52
ocean,swim,0.21686747,0.666666667,36,NA,0.44481823,5.217391304,4.86,3.1892,4.74,5,17,27,23,83
oceanographer,study,0.175438596,0.37037037,35,NA,NA,4.44,3.97,0.699,12.74,13,NA,27,24,52
offspring,love,0.08974359,0.2,48,NA,NA,4.913043478,3.93,2.1173,11.65,9,NA,35,27,75
oilcan,store,0.126436782,0.323529412,46,NA,NA,4.782608696,4.62,0.8451,7.59,6,NA,34,33,85
oilcloth,wipe,0.166666667,0.392857143,34,NA,NA,5.125,4.4,0.301,12.53,8,NA,28,22,60
ointment,heal,0.177777778,0.266666667,27,0.026,NA,5.869565217,4.5,1.9243,7.9,8,20,30,26,47
okra,eat,0.243902439,0.769230769,30,NA,NA,5.269230769,4.78,1.4314,12.61,4,NA,26,26,82
olive,eat,0.258823529,0.75862069,35,0.014,0.068399092,6.173913043,4.9,NA,6.68,5,17,29,26,86
omelet,eat,0.333333333,0.403508772,25,NA,NA,5.6,4.93,2.0864,6.5,6,4,57,50,138
onion,cook,0.161016949,0.59375,34,NA,NA,5.476190476,4.86,2.3365,6.05,5,15,32,29,109
opal,wear,0.103448276,0.103448276,25,NA,NA,4.6,4.42,NA,9.28,4,NA,29,20,34
ophthalmologist,consult,0.06,0.115384615,38,NA,NA,4.423076923,4.32,1.1761,11.35,15,NA,26,24,52
opium,high,0.092307692,0.193548387,41,NA,NA,4.269230769,4.56,2.0607,12.41,5,NA,31,27,64
optician,check,0.096153846,0.185185185,27,NA,NA,4.851851852,4.68,0.699,11.24,8,NA,27,22,52
orange,eat,0.24,0.705882353,40,NA,NA,5.08,4.66,3.0565,3.26,6,14,34,26,94
orchard,grow,0.186440678,0.366666667,33,NA,NA,4.333333333,4.75,1.9956,7.67,7,10,30,24,57
orchid,smell,0.181818182,0.357142857,26,NA,NA,4.68,4.92,2.0453,9.76,6,7,28,20,50
ore,mine,0.113636364,0.192307692,31,0.074,NA,4.375,4.48,1.9294,11.12,3,8,26,20,43
oregano,season,0.180555556,0.371428571,28,NA,NA,5.64,4.81,1.6335,10.88,7,13,35,30,69
organ,donate,0.107142857,0.321428571,44,NA,NA,5.185185185,4.77,2.5694,8.72,5,12,28,25,78
organism,live,0.136363636,0.230769231,27,NA,NA,4.727272727,4.16,2.0212,10.61,8,NA,26,21,40
orgy,sex,0.191489362,0.346153846,28,NA,NA,4.782608696,3.67,1.9445,13.95,4,NA,26,24,46
ornament,decorate,0.265957447,0.735294118,34,NA,NA,6.181818182,4.04,1.7709,6.1,8,9,34,30,90
orphan,adopt,0.147058824,0.294117647,37,NA,NA,5.259259259,4.04,2.4683,6.94,6,NA,34,23,67
orthodontist,braces,0.12244898,0.24,27,0.25,NA,4.916666667,4.43,1.415,10.26,12,6,25,19,40
