"cue","response","AFSS"
"acrobat","insult",23
"acrobat","reach",23
"acrobat","cheer",23
"acrobat","safety",23
"acrobat","discipline",23
"acrobat","see",23
"acrobat","fly",23
"acrobat","swing",23
"acrobat","wear",23
"actor","act",23
"actor","play",23
"actor","emotion",23
"actor","tell",23
"actor","lie",23
"actor","create",23
"actor","move",23
"actor","entertain",23
"actor","listen",23
"actor","laugh",23
"actor","watch",23
"actor","perform",23
"actor","talk",23
"actor","sign",23
"actor","press",23
"actor","show",23
"actor","pretend",23
"actor","sing",23
"actor","cry",23
"actor","yell",23
"actor","punch",23
"actor","serve",23
"actor","run",23
"actress","act",33
"actress","sing",33
"actress","dance",33
"actress","touch",33
"actress","kiss",33
"actress","hit",33
"actress","hold",33
"actress","play",33
"actress","perform",33
"actress","watch",33
"actress","compliment",33
"actress","critique",33
"actress","congratulate",33
"actress","enjoy",33
"actress","bring",33
"actress","portray",33
"actress","film",33
"actress","see",33
"actress","talk",33
"actress","crush",33
"actress","respect",33
"actress","want",33
"actress","grow",33
"actress","include",33
"actress","show",33
"actress","laugh",33
"actress","cry",33
"actress","look",33
"actress","fool",33
"actress","pretend",33
"actress","hug",33
"actress","entertain",33
"actress","admire",33
"acupuncture","relief",16
"acupuncture","therapy",16
"acupuncture","heal",16
"acupuncture","recover",16
"acupuncture","relax",16
"acupuncture","pain",16
"acupuncture","elevate",16
"acupuncture","poke",16
"acupuncture","stab",16
"acupuncture","study",16
"acupuncture","weapon",16
"acupuncture","effect",16
"acupuncture","quit",16
"acupuncture","relieve",16
"acupuncture","massage",16
"acupuncture","stimulate",16
"adapter","plug",22
"adapter","charge",22
"adapter","clean",22
"adapter","gift",22
"adapter","throw",22
"adapter","scrap",22
"adapter","play",22
"adapter","educate",22
"adapter","learn",22
"adapter","connect",22
"adapter","safety",22
"adapter","power",22
"adapter","buy",22
"adapter","sell",22
"adapter","forget",22
"adapter","help",22
"adapter","hook up",22
"adapter","share",22
"adapter","reach",22
"adapter","discard",22
"adapter","unplug",22
"adapter","hook",22
"addict","use",15
"addict","recover",15
"addict","intervene",15
"addict","feel",15
"addict","construction",15
"addict","find",15
"addict","help",15
"addict","friend",15
"addict","respect",15
"addict","look",15
"addict","receive",15
"addict","snort",15
"addict","addict",15
"addict","become",15
"addict","attach",15
"adult","work",24
"adult","drive",24
"adult","buy",24
"adult","chaperone",24
"adult","comfort",24
"adult","care",24
"adult","watch",24
"adult","learn",24
"adult","drink",24
"adult","order",24
"adult","guide",24
"adult","mentor",24
"adult","teach",24
"adult","help",24
"adult","talk",24
"adult","friend",24
"adult","pay",24
"adult","hug",24
"adult","kiss",24
"adult","advice",24
"adult","question",24
"adult","give",24
"adult","birth",24
"adult","love",24
"advisor","ask",26
"advisor","talk",26
"advisor","plan",26
"advisor","decide",26
"advisor","help",26
"advisor","advice",26
"advisor","call",26
"advisor","email",26
"advisor","pay",26
"advisor","utilize",26
"advisor","speak",26
"advisor","meet",26
"advisor","mentor",26
"advisor","question",26
"advisor","recommend",26
"advisor","resource",26
"advisor","inform",26
"advisor","assist",26
"advisor","schedule",26
"advisor","invest",26
"advisor","guide",26
"advisor","manage",26
"advisor","support",26
"advisor","counsel",26
"advisor","tell",26
"advisor","observe",26
"afro","wear",19
"afro","comb",19
"afro","comfort",19
"afro","play",19
"afro","cut",19
"afro","brush",19
"afro","pick",19
"afro","style",19
"afro","braid",19
"afro","color",19
"afro","straighten",19
"afro","touch",19
"afro","admire",19
"afro","wash",19
"afro","dry",19
"afro","care",19
"afro","dye",19
"afro","clean",19
"afro","curl",19
"aftershave","spray",16
"aftershave","scoop",16
"aftershave","protect",16
"aftershave","smell",16
"aftershave","touch",16
"aftershave","shave",16
"aftershave","wear",16
"aftershave","cool",16
"aftershave","wash",16
"aftershave","rinse",16
"aftershave","rub",16
"aftershave","buy",16
"aftershave","craft",16
"aftershave","shop",16
"aftershave","sell",16
"aftershave","gift",16
"aircraft","fly",23
"aircraft","watch",23
"aircraft","travel",23
"aircraft","see",23
"aircraft","visit",23
"aircraft","crash",23
"aircraft","land",23
"aircraft","clean",23
"aircraft","sit",23
"aircraft","ride",23
"aircraft","pollute",23
"aircraft","trade",23
"aircraft","take off",23
"aircraft","transport",23
"aircraft","send",23
"aircraft","mail",23
"aircraft","skydive",23
"aircraft","sightsee",23
"aircraft","carry",23
"aircraft","lift",23
"aircraft","hold",23
"aircraft","flow",23
"aircraft","build",23
"airman","fly",14
"airman","maintain",14
"airman","skydive",14
"airman","talk",14
"airman","pass",14
"airman","sue",14
"airman","fight",14
"airman","ride",14
"airman","salute",14
"airman","thank",14
"airman","help",14
"airman","direct",14
"airman","follow",14
"airman","protect",14
"airplane","travel",28
"airplane","trade",28
"airplane","war",28
"airplane","ride",28
"airplane","fly",28
"airplane","crash",28
"airplane","carry",28
"airplane","work",28
"airplane","see",28
"airplane","sleep",28
"airplane","play",28
"airplane","sell",28
"airplane","charter",28
"airplane","ruin",28
"airplane","look",28
"airplane","fix",28
"airplane","transport",28
"airplane","fight",28
"airplane","weapon",28
"airplane","enjoy",28
"airplane","eat",28
"airplane","drink",28
"airplane","move",28
"airplane","skydive",28
"airplane","hijack",28
"airplane","sit",28
"airplane","feed",28
"airplane","read",28
"album","music",34
"album","listen",34
"album","decorate",34
"album","sell",34
"album","memory",34
"album","gather",34
"album","look",34
"album","tear",34
"album","throw away",34
"album","art",34
"album","destroy",34
"album","create",34
"album","critique",34
"album","appreciate",34
"album","keep",34
"album","display",34
"album","record",34
"album","play",34
"album","learn",34
"album","observe",34
"album","design",34
"album","sing",34
"album","write",34
"album","produce",34
"album","share",34
"album","insert",34
"album","clean",34
"album","buy",34
"album","suggest",34
"album","collect",34
"album","store",34
"album","rid",34
"album","give",34
"album","receive",34
"alcohol","drink",29
"alcohol","smell",29
"alcohol","ingest",29
"alcohol","sip",29
"alcohol","throw up",29
"alcohol","spit",29
"alcohol","enjoy",29
"alcohol","cherish",29
"alcohol","gift",29
"alcohol","carry",29
"alcohol","hide",29
"alcohol","ferment",29
"alcohol","fun",29
"alcohol","forget",29
"alcohol","drive",29
"alcohol","party",29
"alcohol","drunk",29
"alcohol","cook",29
"alcohol","rub",29
"alcohol","mix",29
"alcohol","apply",29
"alcohol","give",29
"alcohol","fix",29
"alcohol","intoxicate",29
"alcohol","celebrate",29
"alcohol","indulge",29
"alcohol","disinfect",29
"alcohol","consume",29
"alcohol","brew",29
"ale","drink",14
"ale","celebrate",14
"ale","spill",14
"ale","pour",14
"ale","throw",14
"ale","throw up",14
"ale","gift",14
"ale","intoxicate",14
"ale","touch",14
"ale","smell",14
"ale","herd",14
"ale","disinfect",14
"ale","mix",14
"ale","marinate",14
"alfalfa","eat",22
"alfalfa","grow",22
"alfalfa","cut",22
"alfalfa","spray",22
"alfalfa","cook",22
"alfalfa","feed",22
"alfalfa","food",22
"alfalfa","decorate",22
"alfalfa","blend",22
"alfalfa","give",22
"alfalfa","garden",22
"alfalfa","garnish",22
"alfalfa","listen",22
"alfalfa","watch",22
"alfalfa","talk",22
"alfalfa","season",22
"alfalfa","spike",22
"alfalfa","sit",22
"alfalfa","frolic",22
"alfalfa","mow",22
"alfalfa","consume",22
"alfalfa","plant",22
"algae","study",21
"algae","grow",21
"algae","kill",21
"algae","plant",21
"algae","food",21
"algae","fight",21
"algae","decorate",21
"algae","cook",21
"algae","feed",21
"algae","medicine",21
"algae","eat",21
"algae","remove",21
"algae","slip",21
"algae","cure",21
"algae","sit",21
"algae","hold",21
"algae","clean",21
"algae","throw away",21
"algae","dye",21
"algae","shelter",21
"algae","analyze",21
"almond","eat",28
"almond","draw",28
"almond","break",28
"almond","chew",28
"almond","spit",28
"almond","trade",28
"almond","crush",28
"almond","topping",28
"almond","snack",28
"almond","food",28
"almond","lower",28
"almond","cook",28
"almond","bake",28
"almond","harvest",28
"almond","farm",28
"almond","milk",28
"almond","drink",28
"almond","count",28
"almond","smash",28
"almond","throw",28
"almond","feed",28
"almond","mix",28
"almond","cut",28
"almond","buy",28
"almond","shave",28
"almond","share",28
"almond","give",28
"almond","sell",28
"altar","pray",31
"altar","sacrifice",31
"altar","destroy",31
"altar","scream",31
"altar","commit",31
"altar","leave",31
"altar","place",31
"altar","sit",31
"altar","eat",31
"altar","walk",31
"altar","marry",31
"altar","ceremony",31
"altar","wed",31
"altar","stand",31
"altar","burn",31
"altar","devote",31
"altar","build",31
"altar","ignore",31
"altar","discuss",31
"altar","cry",31
"altar","praise",31
"altar","preach",31
"altar","oath",31
"altar","present",31
"altar","worship",31
"altar","look",31
"altar","light",31
"altar","clean",31
"altar","decorate",31
"altar","cover",31
"altar","wedding",31
"altarpiece","look",23
"altarpiece","place",23
"altarpiece","organize",23
"altarpiece","lean",23
"altarpiece","symbol",23
"altarpiece","decorate",23
"altarpiece","pray",23
"altarpiece","worship",23
"altarpiece","observe",23
"altarpiece","appreciate",23
"altarpiece","hang",23
"altarpiece","paint",23
"altarpiece","destroy",23
"altarpiece","lay",23
"altarpiece","adorn",23
"altarpiece","buy",23
"altarpiece","depict",23
"altarpiece","ceremony",23
"altarpiece","hold",23
"altarpiece","throw",23
"altarpiece","kiss",23
"altarpiece","stand",23
"altarpiece","hug",23
"aluminum","forge",18
"aluminum","melt",18
"aluminum","bend",18
"aluminum","sculpt",18
"aluminum","build",18
"aluminum","hold",18
"aluminum","heat",18
"aluminum","cover",18
"aluminum","wrap",18
"aluminum","shape",18
"aluminum","store",18
"aluminum","fold",18
"aluminum","cut",18
"aluminum","construction",18
"aluminum","drink",18
"aluminum","experiment",18
"aluminum","ramp",18
"aluminum","bake",18
"ambulance","help",13
"ambulance","ride",13
"ambulance","transport",13
"ambulance","save",13
"ambulance","drive",13
"ambulance","listen",13
"ambulance","watch",13
"ambulance","pull",13
"ambulance","lay",13
"ambulance","protect",13
"ambulance","follow",13
"ambulance","safety",13
"ambulance","carry",13
"ammunition","shoot",24
"ammunition","kill",24
"ammunition","defense",24
"ammunition","load",24
"ammunition","buy",24
"ammunition","sell",24
"ammunition","equip",24
"ammunition","carry",24
"ammunition","reload",24
"ammunition","drop",24
"ammunition","hurt",24
"ammunition","damage",24
"ammunition","weapon",24
"ammunition","trade",24
"ammunition","scare",24
"ammunition","protect",24
"ammunition","war",24
"ammunition","battle",24
"ammunition","rob",24
"ammunition","find",24
"ammunition","fight",24
"ammunition","murder",24
"ammunition","fire",24
"ammunition","make",24
"amphibian","eat",31
"amphibian","play",31
"amphibian","kick",31
"amphibian","slither",31
"amphibian","step on",31
"amphibian","pet",31
"amphibian","care",31
"amphibian","look",31
"amphibian","study",31
"amphibian","food",31
"amphibian","entertain",31
"amphibian","dissect",31
"amphibian","kill",31
"amphibian","reproduce",31
"amphibian","love",31
"amphibian","arrest",31
"amphibian","hold",31
"amphibian","feed",31
"amphibian","nurture",31
"amphibian","attract",31
"amphibian","swim",31
"amphibian","walk",31
"amphibian","feel",31
"amphibian","live",31
"amphibian","save",31
"amphibian","watch",31
"amphibian","keep",31
"amphibian","rid",31
"amphibian","bait",31
"amphibian","stare",31
"amphibian","observe",31
"amulet","decorate",17
"amulet","wear",17
"amulet","pass",17
"amulet","admire",17
"amulet","collect",17
"amulet","throw",17
"amulet","curse",17
"amulet","flaunt",17
"amulet","shine",17
"amulet","sell",17
"amulet","magic",17
"amulet","protect",17
"amulet","gift",17
"amulet","hold",17
"amulet","luck",17
"amulet","drink",17
"amulet","symbolize",17
"anchor","anchor",21
"anchor","protect",21
"anchor","bring",21
"anchor","dock",21
"anchor","leave",21
"anchor","hold",21
"anchor","stop",21
"anchor","weight",21
"anchor","fish",21
"anchor","prevent",21
"anchor","decorate",21
"anchor","memorial",21
"anchor","stabilize",21
"anchor","sail",21
"anchor","swim",21
"anchor","look",21
"anchor","touch",21
"anchor","pick up",21
"anchor","throw",21
"anchor","catch",21
"anchor","drown",21
"anchovy","meal",15
"anchovy","eat",15
"anchovy","food",15
"anchovy","spread",15
"anchovy","throw away",15
"anchovy","see",15
"anchovy","smell",15
"anchovy","catch",15
"anchovy","fish",15
"anchovy","discard",15
"anchovy","topping",15
"anchovy","paint",15
"anchovy","cook",15
"anchovy","throw",15
"anchovy","bait",15
"animal","pet",48
"animal","food",48
"animal","race",48
"animal","bet",48
"animal","reproduce",48
"animal","breed",48
"animal","sustain",48
"animal","travel",48
"animal","invertebrate",48
"animal","ride",48
"animal","photograph",48
"animal","feed",48
"animal","care",48
"animal","eat",48
"animal","love",48
"animal","hunt",48
"animal","walk",48
"animal","annoy",48
"animal","keep",48
"animal","free",48
"animal","skin",48
"animal","comfort",48
"animal","transport",48
"animal","entertain",48
"animal","protect",48
"animal","snuggle",48
"animal","run",48
"animal","support",48
"animal","learn",48
"animal","teach",48
"animal","watch",48
"animal","shoot",48
"animal","kick",48
"animal","buy",48
"animal","carry",48
"animal","sleep",48
"animal","throw",48
"animal","touch",48
"animal","play",48
"animal","instruct",48
"animal","see",48
"animal","attack",48
"animal","hold",48
"animal","cage",48
"animal","kill",48
"animal","raise",48
"animal","train",48
"animal","mount",48
"ankle","break",20
"ankle","sprain",20
"ankle","move",20
"ankle","walk",20
"ankle","run",20
"ankle","kick",20
"ankle","injure",20
"ankle","balance",20
"ankle","support",20
"ankle","roll",20
"ankle","stand",20
"ankle","jump",20
"ankle","tape",20
"ankle","twist",20
"ankle","carry",20
"ankle","wrap",20
"ankle","strain",20
"ankle","heal",20
"ankle","scrape",20
"ankle","drive",20
"anklet","wear",25
"anklet","throw",25
"anklet","break",25
"anklet","snap",25
"anklet","thread",25
"anklet","destroy",25
"anklet","tear",25
"anklet","untie",25
"anklet","unclip",25
"anklet","buy",25
"anklet","sell",25
"anklet","show",25
"anklet","tie",25
"anklet","cut",25
"anklet","gift",25
"anklet","receive",25
"anklet","decorate",25
"anklet","swing",25
"anklet","clasp",25
"anklet","play",25
"anklet","design",25
"anklet","express",25
"anklet","purchase",25
"anklet","accessorize",25
"anklet","style",25
"announcer","speak",15
"announcer","hear",15
"announcer","listen",15
"announcer","hype",15
"announcer","explain",15
"announcer","entertain",15
"announcer","pay",15
"announcer","sit",15
"announcer","announce",15
"announcer","commentate",15
"announcer","talk",15
"announcer","inform",15
"announcer","host",15
"announcer","show",15
"announcer","broadcast",15
"ant","farm",39
"ant","collect",39
"ant","food",39
"ant","feed",39
"ant","build",39
"ant","sustain",39
"ant","create",39
"ant","prank",39
"ant","pack",39
"ant","squish",39
"ant","crush",39
"ant","free",39
"ant","find",39
"ant","study",39
"ant","analyze",39
"ant","experiment",39
"ant","control",39
"ant","observe",39
"ant","kill",39
"ant","watch",39
"ant","bite",39
"ant","fertilize",39
"ant","colonize",39
"ant","live",39
"ant","reproduce",39
"ant","carry",39
"ant","eat",39
"ant","transport",39
"ant","support",39
"ant","protect",39
"ant","learn",39
"ant","fire",39
"ant","punish",39
"ant","step on",39
"ant","smash",39
"ant","cut",39
"ant","burn",39
"ant","hit",39
"ant","drown",39
"antenna","connect",32
"antenna","reach",32
"antenna","signal",32
"antenna","receive",32
"antenna","play",32
"antenna","install",32
"antenna","buy",32
"antenna","pick up",32
"antenna","throw",32
"antenna","access",32
"antenna","radio",32
"antenna","communicate",32
"antenna","sword",32
"antenna","extend",32
"antenna","collapse",32
"antenna","probe",32
"antenna","instruct",32
"antenna","point",32
"antenna","navigate",32
"antenna","decorate",32
"antenna","amplify",32
"antenna","watch",32
"antenna","feel",32
"antenna","listen",32
"antenna","catch",32
"antenna","look",32
"antenna","photograph",32
"antenna","music",32
"antenna","detect",32
"antenna","move",32
"antenna","sound",32
"antenna","find",32
"antennae","fix",36
"antennae","move",36
"antennae","relocate",36
"antennae","adjust",36
"antennae","point",36
"antennae","locate",36
"antennae","feel",36
"antennae","watch",36
"antennae","listen",36
"antennae","music",36
"antennae","eat",36
"antennae","transmit",36
"antennae","hold",36
"antennae","smell",36
"antennae","see",36
"antennae","buy",36
"antennae","sell",36
"antennae","replace",36
"antennae","throw",36
"antennae","step on",36
"antennae","melt",36
"antennae","borrow",36
"antennae","lend",36
"antennae","create",36
"antennae","sound",36
"antennae","break",36
"antennae","rake",36
"antennae","receive",36
"antennae","connect",36
"antennae","talk",36
"antennae","weapon",36
"antennae","motion",36
"antennae","heat",36
"antennae","vibrate",36
"antennae","turn",36
"antennae","set",36
"antibiotics","take",20
"antibiotics","protect",20
"antibiotics","cure",20
"antibiotics","kill",20
"antibiotics","consume",20
"antibiotics","control infection",20
"antibiotics","control",20
"antibiotics","treat",20
"antibiotics","heal",20
"antibiotics","medicine",20
"antibiotics","buy",20
"antibiotics","prescribe",20
"antibiotics","fight",20
"antibiotics","feel",20
"antibiotics","avoid",20
"antibiotics","swallow",20
"antibiotics","ingest",20
"antibiotics","trade",20
"antibiotics","mix",20
"antibiotics","sell",20
"antihistamine","take",25
"antihistamine","medicine",25
"antihistamine","suppress",25
"antihistamine","stop",25
"antihistamine","heal",25
"antihistamine","treat",25
"antihistamine","sleep",25
"antihistamine","consume",25
"antihistamine","sell",25
"antihistamine","buy",25
"antihistamine","throw",25
"antihistamine","burn",25
"antihistamine","crush",25
"antihistamine","throw away",25
"antihistamine","leave",25
"antihistamine","itch",25
"antihistamine","give",25
"antihistamine","help",25
"antihistamine","improve",25
"antihistamine","combine",25
"antihistamine","relief",25
"antihistamine","develop",25
"antihistamine","administer",25
"antihistamine","medicate",25
"antihistamine","reduce",25
"antique","speculate",32
"antique","educate",32
"antique","admire",32
"antique","buy",32
"antique","sell",32
"antique","collect",32
"antique","decorate",32
"antique","brag",32
"antique","pass",32
"antique","trade",32
"antique","polish",32
"antique","value",32
"antique","watch",32
"antique","feel",32
"antique","break",32
"antique","look",32
"antique","store",32
"antique","restore",32
"antique","display",32
"antique","destroy",32
"antique","save",32
"antique","preserve",32
"antique","rid",32
"antique","memory",32
"antique","cook",32
"antique","cherish",32
"antique","auction",32
"antique","drive",32
"antique","fix",32
"antique","love",32
"antique","hate",32
"antique","view",32
"antiseptics","take",13
"antiseptics","clean",13
"antiseptics","sterilize",13
"antiseptics","apply",13
"antiseptics","give",13
"antiseptics","bring",13
"antiseptics","disinfect",13
"antiseptics","spray",13
"antiseptics","eye",13
"antiseptics","rid",13
"antiseptics","protect",13
"antiseptics","medicine",13
"antiseptics","prepare",13
"anus","excrete",22
"anus","laugh",22
"anus","defecate",22
"anus","fart",22
"anus","bear",22
"anus","move",22
"anus","pain",22
"anus","pleasure",22
"anus","release",22
"anus","sex",22
"anus","poop",22
"anus","open",22
"anus","expel",22
"anus","stimulate",22
"anus","insult",22
"anus","poke",22
"anus","surgery",22
"anus","exam",22
"anus","dispose",22
"anus","wipe",22
"anus","look",22
"anus","exit",22
"apartment","shelter",32
"apartment","host",32
"apartment","cook",32
"apartment","sleep",32
"apartment","privacy",32
"apartment","enter",32
"apartment","exit",32
"apartment","live",32
"apartment","buy",32
"apartment","rent",32
"apartment","sell",32
"apartment","decorate",32
"apartment","party",32
"apartment","store",32
"apartment","watch",32
"apartment","play",32
"apartment","walk",32
"apartment","clean",32
"apartment","move",32
"apartment","visit",32
"apartment","pay",32
"apartment","hold",32
"apartment","bake",32
"apartment","dance",32
"apartment","wake",32
"apartment","shower",32
"apartment","sing",32
"apartment","relax",32
"apartment","sit",32
"apartment","stand",32
"apartment","eat",32
"apartment","drink",32
"apparatus","study",13
"apparatus","manufacture",13
"apparatus","sell",13
"apparatus","buy",13
"apparatus","build",13
"apparatus","learn",13
"apparatus","break",13
"apparatus","confusion",13
"apparatus","eat",13
"apparatus","steam",13
"apparatus","cook",13
"apparatus","think",13
"apparatus","food",13
"apparel","wear",30
"apparel","shelter",30
"apparel","first aid",30
"apparel","upholster",30
"apparel","memory",30
"apparel","gift",30
"apparel","warm",30
"apparel","tear",30
"apparel","wash",30
"apparel","design",30
"apparel","sell",30
"apparel","rip",30
"apparel","stretch",30
"apparel","dry",30
"apparel","fashion",30
"apparel","comfort",30
"apparel","cover",30
"apparel","flaunt",30
"apparel","buy",30
"apparel","promote",30
"apparel","donate",30
"apparel","upcycle",30
"apparel","fold",30
"apparel","clean",30
"apparel","admire",30
"apparel","create",30
"apparel","thrift",30
"apparel","steal",30
"apparel","step on",30
"apparel","look",30
"appendage","hold",29
"appendage","cut",29
"appendage","chop",29
"appendage","throw",29
"appendage","add",29
"appendage","attach",29
"appendage","replace",29
"appendage","poke",29
"appendage","break",29
"appendage","draw",29
"appendage","protect",29
"appendage","action",29
"appendage","type",29
"appendage","walk",29
"appendage","kick",29
"appendage","remove",29
"appendage","move",29
"appendage","flex",29
"appendage","twist",29
"appendage","turn",29
"appendage","feel",29
"appendage","grab",29
"appendage","lift",29
"appendage","push",29
"appendage","look",29
"appendage","rotate",29
"appendage","defense",29
"appendage","email",29
"appendage","hit",29
"appetizer","eat",29
"appetizer","start",29
"appetizer","sustain",29
"appetizer","cook",29
"appetizer","play",29
"appetizer","ask",29
"appetizer","talk",29
"appetizer","take",29
"appetizer","picture",29
"appetizer","give",29
"appetizer","return",29
"appetizer","spill",29
"appetizer","throw",29
"appetizer","make",29
"appetizer","serve",29
"appetizer","throw away",29
"appetizer","share",29
"appetizer","save",29
"appetizer","food",29
"appetizer","fill",29
"appetizer","want",29
"appetizer","order",29
"appetizer","buy",29
"appetizer","sell",29
"appetizer","assist",29
"appetizer","hold",29
"appetizer","impress",29
"appetizer","drink",29
"appetizer","show",29
"apple","food",26
"apple","hack",26
"apple","call",26
"apple","eat",26
"apple","grow",26
"apple","pick",26
"apple","peel",26
"apple","bite",26
"apple","bake",26
"apple","juice",26
"apple","plant",26
"apple","cook",26
"apple","give",26
"apple","throw",26
"apple","draw",26
"apple","weapon",26
"apple","snack",26
"apple","decorate",26
"apple","cut",26
"apple","size",26
"apple","throw away",26
"apple","drink",26
"apple","slice",26
"apple","sit",26
"apple","shoot",26
"apple","sell",26
"appliance","wash",35
"appliance","dry",35
"appliance","cook",35
"appliance","refrigerate",35
"appliance","clean",35
"appliance","heat",35
"appliance","help",35
"appliance","care",35
"appliance","hold",35
"appliance","cool",35
"appliance","toast",35
"appliance","hit",35
"appliance","sell",35
"appliance","gift",35
"appliance","bake",35
"appliance","fix",35
"appliance","weapon",35
"appliance","tool",35
"appliance","food",35
"appliance","light",35
"appliance","store",35
"appliance","freeze",35
"appliance","break",35
"appliance","lose",35
"appliance","find",35
"appliance","throw away",35
"appliance","cold",35
"appliance","chill",35
"appliance","fry",35
"appliance","buy",35
"appliance","give",35
"appliance","repair",35
"appliance","shop",35
"appliance","warm",35
"appliance","mix",35
"applicator","hire",15
"applicator","apply",15
"applicator","blend",15
"applicator","season",15
"applicator","insert",15
"applicator","tattoo",15
"applicator","scoop",15
"applicator","throw",15
"applicator","break",15
"applicator","snap",15
"applicator","make",15
"applicator","stop",15
"applicator","fill",15
"applicator","remove",15
"applicator","touch",15
"appraiser","determines",22
"appraiser","value",22
"appraiser","appraise",22
"appraiser","determine",22
"appraiser","appriase",22
"appraiser","evaluate",22
"appraiser","give",22
"appraiser","estimate",22
"appraiser","feedback",22
"appraiser","assess",22
"appraiser","inspect",22
"appraiser","judge",22
"appraiser","call",22
"appraiser","opinion",22
"appraiser","discuss",22
"appraiser","negotiate",22
"appraiser","find",22
"appraiser","tell",22
"appraiser","look",22
"appraiser","decide",22
"appraiser","sell",22
"appraiser","buy",22
"apprentice","teach",21
"apprentice","pass",21
"apprentice","learn",21
"apprentice","assist",21
"apprentice","help",21
"apprentice","job",21
"apprentice","task",21
"apprentice","examine",21
"apprentice","test",21
"apprentice","fire",21
"apprentice","hire",21
"apprentice","run",21
"apprentice","grow",21
"apprentice","send",21
"apprentice","pay",21
"apprentice","study",21
"apprentice","work",21
"apprentice","encourage",21
"apprentice","motivate",21
"apprentice","watch",21
"apprentice","practice",21
"apricot","food",37
"apricot","throw",37
"apricot","eat",37
"apricot","swallow",37
"apricot","bake",37
"apricot","hit",37
"apricot","kick",37
"apricot","paint",37
"apricot","slurp",37
"apricot","observe",37
"apricot","enjoy",37
"apricot","refresh",37
"apricot","wash",37
"apricot","smell",37
"apricot","weapon",37
